Product ID,Product Name,Category,Supplier,Supplier Cost (₹),Packaging Cost (₹),Total Cost (₹),Markup Multiplier,Selling Price (₹),Stock Quantity,Sold Quantity,Available Stock,Status,SKU,Weight (g),Material,Images Uploaded,Listed on Website,Listed on Instagram,Notes
JBG-001,Kaveri Necklace Set,Necklaces,,,,,5,2999,,,,,JBG-NCK-001,,Kundan + Gold Plating,Yes,Yes,Yes,New Launch
JBG-002,Raahi Necklace Set,Necklaces,,,,,5,3499,,,,,JBG-NCK-002,,Polki + Pearl + Pink Beads,Yes,Yes,Yes,New Launch
JBG-003,,,,,,,,,,,,,,,,,,,,
JBG-004,,,,,,,,,,,,,,,,,,,,
JBG-005,,,,,,,,,,,,,,,,,,,,
